en
S,en,Ukraine,ru,Р Р€Р С”РЎР‚Р В°Р С‘Р Р…Р В°,ru,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р В°
T,en,Ternivschina,ru,Р СћР ВµРЎР‚Р Р…iР Р†РЎвЂ°Р С‘Р Р…Р В°,ua,Р СћР ВµРЎР‚Р Р…iР Р†РЎвЂ°Р С‘Р Р…Р В°
T,en,Tishki,ru,Р СћР С‘РЎв‚¬Р С”Р С‘,ua,Р СћР С‘РЎв‚¬Р С”Р С‘
T,en,Horoshki,ru,Р ТђР С•РЎР‚Р С•РЎв‚¬Р С”Р С‘,ua,Р ТђР С•РЎР‚Р С•РЎв‚¬Р С”Р С‘
T,en,Sheki,ru,Р РЃР ВµР С”Р С‘,ua,Р РЃР ВµР С”Р С‘
T,en,Shershnivka,ru,Р РЃР ВµРЎР‚РЎв‚¬Р Р…iР Р†Р С”Р В°,ua,Р РЃР ВµРЎР‚РЎв‚¬Р Р…iР Р†Р С”Р В°
T,en,Abramivka,ru,Р С’Р В±РЎР‚Р В°Р С?iР Р†Р С”Р В°,ua,Р С’Р В±РЎР‚Р В°Р С?iР Р†Р С”Р В°
T,en,Bazilivschina,ru,Р вЂ?Р В°Р В·Р С‘Р В»iР Р†РЎвЂ°Р С‘Р Р…Р В°,ua,Р вЂ?Р В°Р В·Р С‘Р В»iР Р†РЎвЂ°Р С‘Р Р…Р В°
T,en,Konovalivka,ru,Р С™Р С•Р Р…Р С•Р Р†Р В°Р В»iР Р†Р С”Р В°,ua,Р С™Р С•Р Р…Р С•Р Р†Р В°Р В»iР Р†Р С”Р В°
T,en,Koshmanivka,ru,Р С™Р С•РЎв‚¬Р С?Р В°Р Р…iР Р†Р С”Р В°,ua,Р С™Р С•РЎв‚¬Р С?Р В°Р Р…iР Р†Р С”Р В°
T,en,Kustolovo-suhodilka,ru,Р С™РЎС“РЎРѓРЎвЂљР С•Р В»Р С•Р Р†Р С•-Р РЋРЎС“РЎвЂ¦Р С•Р Т‘iР В»Р С”Р В°,ua,Р С™РЎС“РЎРѓРЎвЂљР С•Р В»Р С•Р Р†Р С•-Р РЋРЎС“РЎвЂ¦Р С•Р Т‘iР В»Р С”Р В°
T,en,Mala nehvoroscha,ru,Р СљР В°Р В»Р В° Р СњР ВµРЎвЂ¦Р Р†Р С•РЎР‚Р С•РЎвЂ°Р В°,ua,Р СљР В°Р В»Р В° Р СњР ВµРЎвЂ¦Р Р†Р С•РЎР‚Р С•РЎвЂ°Р В°
T,en,Mashivka,ru,Р СљР В°РЎв‚¬iР Р†Р С”Р В°,ua,Р СљР В°РЎв‚¬iР Р†Р С”Р В°
T,en,Novij tagamlik,ru,Р СњР С•Р Р†Р С‘Р в„– Р СћР В°Р С–Р В°Р С?Р В»Р С‘Р С”,ua,Р СњР С•Р Р†Р С‘Р в„– Р СћР В°Р С–Р В°Р С?Р В»Р С‘Р С”
T,en,Rjas'ke,ru,Р В РЎРЏРЎРѓРЎРЉР С”Р Вµ,ua,Р В РЎРЏРЎРѓРЎРЉР С”Р Вµ
T,en,Sahnivschina,ru,Р РЋР В°РЎвЂ¦Р Р…iР Р†РЎвЂ°Р С‘Р Р…Р В°,ua,Р РЋР В°РЎвЂ¦Р Р…iР Р†РЎвЂ°Р С‘Р Р…Р В°
T,en,Seleschina,ru,Р РЋР ВµР В»Р ВµРЎвЂ°Р С‘Р Р…Р В°,ua,Р РЋР ВµР В»Р ВµРЎвЂ°Р С‘Р Р…Р В°
T,en,Starits'kivka,ru,Р РЋРЎвЂљР В°РЎР‚Р С‘РЎвЂ РЎРЉР С”iР Р†Р С”Р В°,ua,Р РЋРЎвЂљР В°РЎР‚Р С‘РЎвЂ РЎРЉР С”iР Р†Р С”Р В°
T,en,Bakumivka,ru,Р вЂ?Р В°Р С”РЎС“Р С?iР Р†Р С”Р В°,ua,Р вЂ?Р В°Р С”РЎС“Р С?iР Р†Р С”Р В°
T,en,Velika obuhivka,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р С›Р В±РЎС“РЎвЂ¦iР Р†Р С”Р В°,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р С›Р В±РЎС“РЎвЂ¦iР Р†Р С”Р В°
T,en,Velikij bajrak,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р вЂ?Р В°Р в„–РЎР‚Р В°Р С”,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р вЂ?Р В°Р в„–РЎР‚Р В°Р С”
T,en,Veliki sorochintsi,ru,Р вЂ™Р ВµР В»Р С‘Р С”i Р РЋР С•РЎР‚Р С•РЎвЂЎР С‘Р Р…РЎвЂ i,ua,Р вЂ™Р ВµР В»Р С‘Р С”i Р РЋР С•РЎР‚Р С•РЎвЂЎР С‘Р Р…РЎвЂ i
T,en,Verhnja budakivka,ru,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…РЎРЏ Р вЂ?РЎС“Р Т‘Р В°Р С”iР Р†Р С”Р В°,ua,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…РЎРЏ Р вЂ?РЎС“Р Т‘Р В°Р С”iР Р†Р С”Р В°
T,en,Garkushintsi,ru,Р вЂњР В°РЎР‚Р С”РЎС“РЎв‚¬Р С‘Р Р…РЎвЂ i,ua,Р вЂњР В°РЎР‚Р С”РЎС“РЎв‚¬Р С‘Р Р…РЎвЂ i
T,en,Gasenki,ru,Р вЂњР В°РЎРѓР ВµР Р…Р С”Р С‘,ua,Р вЂњР В°РЎРѓР ВµР Р…Р С”Р С‘
T,en,Dibrivka,ru,Р вЂќiР В±РЎР‚iР Р†Р С”Р В°,ua,Р вЂќiР В±РЎР‚iР Р†Р С”Р В°
T,en,Erki,ru,Р вЂћРЎР‚Р С”Р С‘,ua,Р вЂћРЎР‚Р С”Р С‘
T,en,Zelenij kut,ru,Р вЂ”Р ВµР В»Р ВµР Р…Р С‘Р в„– Р С™РЎС“РЎвЂљ,ua,Р вЂ”Р ВµР В»Р ВµР Р…Р С‘Р в„– Р С™РЎС“РЎвЂљ
T,en,Zubivka,ru,Р вЂ”РЎС“Р В±iР Р†Р С”Р В°,ua,Р вЂ”РЎС“Р В±iР Р†Р С”Р В°
T,en,Zuyivtsi,ru,Р вЂ”РЎС“РЎвЂ”Р Р†РЎвЂ i,ua,Р вЂ”РЎС“РЎвЂ”Р Р†РЎвЂ i
T,en,Kibintsi,ru,Р С™Р С‘Р В±Р С‘Р Р…РЎвЂ i,ua,Р С™Р С‘Р В±Р С‘Р Р…РЎвЂ i
T,en,Kljushnikivka,ru,Р С™Р В»РЎР‹РЎв‚¬Р Р…Р С‘Р С”iР Р†Р С”Р В°,ua,Р С™Р В»РЎР‹РЎв‚¬Р Р…Р С‘Р С”iР Р†Р С”Р В°
T,en,Komishnja,ru,Р С™Р С•Р С?Р С‘РЎв‚¬Р Р…РЎРЏ,ua,Р С™Р С•Р С?Р С‘РЎв‚¬Р Р…РЎРЏ
T,en,Mali sorochintsi,ru,Р СљР В°Р В»i Р РЋР С•РЎР‚Р С•РЎвЂЎР С‘Р Р…РЎвЂ i,ua,Р СљР В°Р В»i Р РЋР С•РЎР‚Р С•РЎвЂЎР С‘Р Р…РЎвЂ i
T,en,Mal'tsi,ru,Р СљР В°Р В»РЎРЉРЎвЂ i,ua,Р СљР В°Р В»РЎРЉРЎвЂ i
T,en,Mirgorod,ru,Р СљР С‘РЎР‚Р С–Р С•РЎР‚Р С•Р Т‘,ua,Р СљР С‘РЎР‚Р С–Р С•РЎР‚Р С•Р Т‘
T,en,Panasivka,ru,Р СџР В°Р Р…Р В°РЎРѓiР Р†Р С”Р В°,ua,Р СџР В°Р Р…Р В°РЎРѓiР Р†Р С”Р В°
T,en,Petrivtsi,ru,Р СџР ВµРЎвЂљРЎР‚iР Р†РЎвЂ i,ua,Р СџР ВµРЎвЂљРЎР‚iР Р†РЎвЂ i
T,en,Poliv'jane,ru,Р СџР С•Р В»Р С‘Р Р†'РЎРЏР Р…Р Вµ,ua,Р СџР С•Р В»Р С‘Р Р†'РЎРЏР Р…Р Вµ
T,en,Savintsi,ru,Р РЋР В°Р Р†Р С‘Р Р…РЎвЂ i,ua,Р РЋР В°Р Р†Р С‘Р Р…РЎвЂ i
T,en,Slobidka,ru,Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°,ua,Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°
T,en,Solontsi,ru,Р РЋР С•Р В»Р С•Р Р…РЎвЂ i,ua,Р РЋР С•Р В»Р С•Р Р…РЎвЂ i
T,en,Homutets',ru,Р ТђР С•Р С?РЎС“РЎвЂљР ВµРЎвЂ РЎРЉ,ua,Р ТђР С•Р С?РЎС“РЎвЂљР ВµРЎвЂ РЎРЉ
T,en,CHerevki,ru,Р В§Р ВµРЎР‚Р ВµР Р†Р С”Р С‘,ua,Р В§Р ВµРЎР‚Р ВµР Р†Р С”Р С‘
T,en,CHerkaschani,ru,Р В§Р ВµРЎР‚Р С”Р В°РЎвЂ°Р В°Р Р…Р С‘,ua,Р В§Р ВµРЎР‚Р С”Р В°РЎвЂ°Р В°Р Р…Р С‘
T,en,Sharkivschina,ru,Р РЃР В°РЎР‚Р С”iР Р†РЎвЂ°Р С‘Р Р…Р В°,ua,Р РЃР В°РЎР‚Р С”iР Р†РЎвЂ°Р С‘Р Р…Р В°
T,en,Shahvorostivka,ru,Р РЃР В°РЎвЂ¦Р Р†Р С•РЎР‚Р С•РЎРѓРЎвЂљiР Р†Р С”Р В°,ua,Р РЃР В°РЎвЂ¦Р Р†Р С•РЎР‚Р С•РЎРѓРЎвЂљiР Р†Р С”Р В°
T,en,Shul'gi,ru,Р РЃРЎС“Р В»РЎРЉР С–Р С‘,ua,Р РЃРЎС“Р В»РЎРЉР С–Р С‘
T,en,JArmaki,ru,Р Р‡РЎР‚Р С?Р В°Р С”Р С‘,ua,Р Р‡РЎР‚Р С?Р В°Р С”Р С‘
T,en,Bogdanivka,ru,Р вЂ?Р С•Р С–Р Т‘Р В°Р Р…iР Р†Р С”Р В°,ua,Р вЂ?Р С•Р С–Р Т‘Р В°Р Р…iР Р†Р С”Р В°
T,en,Veliki solontsi,ru,Р вЂ™Р ВµР В»Р С‘Р С”i Р РЋР С•Р В»Р С•Р Р…РЎвЂ i,ua,Р вЂ™Р ВµР В»Р С‘Р С”i Р РЋР С•Р В»Р С•Р Р…РЎвЂ i
T,en,Velikij kobeljachok,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р С™Р С•Р В±Р ВµР В»РЎРЏРЎвЂЎР С•Р С”,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р С™Р С•Р В±Р ВµР В»РЎРЏРЎвЂЎР С•Р С”
T,en,Galuschina greblja,ru,Р вЂњР В°Р В»РЎС“РЎвЂ°Р С‘Р Р…Р В° Р вЂњРЎР‚Р ВµР В±Р В»РЎРЏ,ua,Р вЂњР В°Р В»РЎС“РЎвЂ°Р С‘Р Р…Р В° Р вЂњРЎР‚Р ВµР В±Р В»РЎРЏ
T,en,Gorobtsi,ru,Р вЂњР С•РЎР‚Р С•Р В±РЎвЂ i,ua,Р вЂњР С•РЎР‚Р С•Р В±РЎвЂ i
T,en,Drabinivka,ru,Р вЂќРЎР‚Р В°Р В±Р С‘Р Р…iР Р†Р С”Р В°,ua,Р вЂќРЎР‚Р В°Р В±Р С‘Р Р…iР Р†Р С”Р В°
T,en,Dubina,ru,Р вЂќРЎС“Р В±Р С‘Р Р…Р В°,ua,Р вЂќРЎС“Р В±Р С‘Р Р…Р В°
T,en,Zachepilivka,ru,Р вЂ”Р В°РЎвЂЎР ВµР С—Р С‘Р В»iР Р†Р С”Р В°,ua,Р вЂ”Р В°РЎвЂЎР ВµР С—Р С‘Р В»iР Р†Р С”Р В°
T,en,Kljusivka,ru,Р С™Р В»РЎР‹РЎРѓiР Р†Р С”Р В°,ua,Р С™Р В»РЎР‹РЎРѓiР Р†Р С”Р В°
T,en,Kruta balka,ru,Р С™РЎР‚РЎС“РЎвЂљР В° Р вЂ?Р В°Р В»Р С”Р В°,ua,Р С™РЎР‚РЎС“РЎвЂљР В° Р вЂ?Р В°Р В»Р С”Р В°
T,en,Kuntseve,ru,Р С™РЎС“Р Р…РЎвЂ Р ВµР Р†Р Вµ,ua,Р С™РЎС“Р Р…РЎвЂ Р ВµР Р†Р Вµ
T,en,Kustolove,ru,Р С™РЎС“РЎРѓРЎвЂљР С•Р В»Р С•Р Р†Р Вµ,ua,Р С™РЎС“РЎРѓРЎвЂљР С•Р В»Р С•Р Р†Р Вµ
T,en,Leljuhivka,ru,Р вЂєР ВµР В»РЎР‹РЎвЂ¦iР Р†Р С”Р В°,ua,Р вЂєР ВµР В»РЎР‹РЎвЂ¦iР Р†Р С”Р В°
T,en,Livens'ke,ru,Р вЂєiР Р†Р ВµР Р…РЎРѓРЎРЉР С”Р Вµ,ua,Р вЂєiР Р†Р ВµР Р…РЎРѓРЎРЉР С”Р Вµ
T,en,Mala pereschepina,ru,Р СљР В°Р В»Р В° Р СџР ВµРЎР‚Р ВµРЎвЂ°Р ВµР С—Р С‘Р Р…Р В°,ua,Р СљР В°Р В»Р В° Р СџР ВµРЎР‚Р ВµРЎвЂ°Р ВµР С—Р С‘Р Р…Р В°
T,en,Malij kobeljachok,ru,Р СљР В°Р В»Р С‘Р в„– Р С™Р С•Р В±Р ВµР В»РЎРЏРЎвЂЎР С•Р С”,ua,Р СљР В°Р В»Р С‘Р в„– Р С™Р С•Р В±Р ВµР В»РЎРЏРЎвЂЎР С•Р С”
T,en,Majachka,ru,Р СљР В°РЎРЏРЎвЂЎР С”Р В°,ua,Р СљР В°РЎРЏРЎвЂЎР С”Р В°
T,en,Nehvoroscha,ru,Р СњР ВµРЎвЂ¦Р Р†Р С•РЎР‚Р С•РЎвЂ°Р В°,ua,Р СњР ВµРЎвЂ¦Р Р†Р С•РЎР‚Р С•РЎвЂ°Р В°
T,en,Novi sanzhari,ru,Р СњР С•Р Р†i Р РЋР В°Р Р…Р В¶Р В°РЎР‚Р С‘,ua,Р СњР С•Р Р†i Р РЋР В°Р Р…Р В¶Р В°РЎР‚Р С‘
T,en,Pisarivka,ru,Р СџР С‘РЎРѓР В°РЎР‚iР Р†Р С”Р В°,ua,Р СџР С‘РЎРѓР В°РЎР‚iР Р†Р С”Р В°
T,en,Poluzir'ja,ru,Р СџР С•Р В»РЎС“Р В·iРЎР‚'РЎРЏ,ua,Р СџР С•Р В»РЎС“Р В·iРЎР‚'РЎРЏ
T,en,Pristantsijne,ru,Р СџРЎР‚Р С‘РЎРѓРЎвЂљР В°Р Р…РЎвЂ iР в„–Р Р…Р Вµ,ua,Р СџРЎР‚Р С‘РЎРѓРЎвЂљР В°Р Р…РЎвЂ iР в„–Р Р…Р Вµ
T,en,Rudenkivka,ru,Р В РЎС“Р Т‘Р ВµР Р…Р С”iР Р†Р С”Р В°,ua,Р В РЎС“Р Т‘Р ВµР Р…Р С”iР Р†Р С”Р В°
T,en,Sokolova balka,ru,Р РЋР С•Р С”Р С•Р В»Р С•Р Р†Р В° Р вЂ?Р В°Р В»Р С”Р В°,ua,Р РЋР С•Р С”Р С•Р В»Р С•Р Р†Р В° Р вЂ?Р В°Р В»Р С”Р В°
T,en,Stari sanzhari,ru,Р РЋРЎвЂљР В°РЎР‚i Р РЋР В°Р Р…Р В¶Р В°РЎР‚Р С‘,ua,Р РЋРЎвЂљР В°РЎР‚i Р РЋР В°Р Р…Р В¶Р В°РЎР‚Р С‘
T,en,Stovbina dolina,ru,Р РЋРЎвЂљР С•Р Р†Р В±Р С‘Р Р…Р В° Р вЂќР С•Р В»Р С‘Р Р…Р В°,ua,Р РЋРЎвЂљР С•Р Р†Р В±Р С‘Р Р…Р В° Р вЂќР С•Р В»Р С‘Р Р…Р В°
T,en,Sudivka,ru,Р РЋРЎС“Р Т‘iР Р†Р С”Р В°,ua,Р РЋРЎС“Р Т‘iР Р†Р С”Р В°
T,en,Suprotivna balka,ru,Р РЋРЎС“Р С—РЎР‚Р С•РЎвЂљР С‘Р Р†Р Р…Р В° Р вЂ?Р В°Р В»Р С”Р В°,ua,Р РЋРЎС“Р С—РЎР‚Р С•РЎвЂљР С‘Р Р†Р Р…Р В° Р вЂ?Р В°Р В»Р С”Р В°
T,en,Suha majachka,ru,Р РЋРЎС“РЎвЂ¦Р В° Р СљР В°РЎРЏРЎвЂЎР С”Р В°,ua,Р РЋРЎС“РЎвЂ¦Р В° Р СљР В°РЎРЏРЎвЂЎР С”Р В°
T,en,Shedieve,ru,Р РЃР ВµР Т‘iРЎвЂќР Р†Р Вµ,ua,Р РЃР ВµР Т‘iРЎвЂќР Р†Р Вµ
T,en,Velikoselets'ke,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р С•РЎРѓР ВµР В»Р ВµРЎвЂ РЎРЉР С”Р Вµ,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р С•РЎРѓР ВµР В»Р ВµРЎвЂ РЎРЉР С”Р Вµ
T,en,Voronintsi,ru,Р вЂ™Р С•РЎР‚Р С•Р Р…Р С‘Р Р…РЎвЂ i,ua,Р вЂ™Р С•РЎР‚Р С•Р Р…Р С‘Р Р…РЎвЂ i
T,en,Denisivka,ru,Р вЂќР ВµР Р…Р С‘РЎРѓiР Р†Р С”Р В°,ua,Р вЂќР ВµР Р…Р С‘РЎРѓiР Р†Р С”Р В°
T,en,Zarig,ru,Р вЂ”Р В°РЎР‚iР С–,ua,Р вЂ”Р В°РЎР‚iР С–
T,en,Zolotuhi,ru,Р вЂ”Р С•Р В»Р С•РЎвЂљРЎС“РЎвЂ¦Р С‘,ua,Р вЂ”Р С•Р В»Р С•РЎвЂљРЎС“РЎвЂ¦Р С‘
T,en,Krupoderintsi,ru,Р С™РЎР‚РЎС“Р С—Р С•Р Т‘Р ВµРЎР‚Р С‘Р Р…РЎвЂ i,ua,Р С™РЎР‚РЎС“Р С—Р С•Р Т‘Р ВµРЎР‚Р С‘Р Р…РЎвЂ i
T,en,Kujbisheve,ru,Р С™РЎС“Р в„–Р В±Р С‘РЎв‚¬Р ВµР Р†Р Вµ,ua,Р С™РЎС“Р в„–Р В±Р С‘РЎв‚¬Р ВµР Р†Р Вµ
T,en,Lazirki,ru,Р вЂєР В°Р В·iРЎР‚Р С”Р С‘,ua,Р вЂєР В°Р В·iРЎР‚Р С”Р С‘
T,en,Lukim'JA,ru,Р вЂєРЎС“Р С”iР С?'Р Р‡,ua,Р вЂєРЎС“Р С”iР С?'Р Р‡
T,en,Neseno-irzhavets',ru,Р СњР ВµРЎРѓР ВµР Р…Р С•-IРЎР‚Р В¶Р В°Р Р†Р ВµРЎвЂ РЎРЉ,ua,Р СњР ВµРЎРѓР ВµР Р…Р С•-IРЎР‚Р В¶Р В°Р Р†Р ВµРЎвЂ РЎРЉ
T,en,Novoorzhits'ke,ru,Р СњР С•Р Р†Р С•Р С•РЎР‚Р В¶Р С‘РЎвЂ РЎРЉР С”Р Вµ,ua,Р СњР С•Р Р†Р С•Р С•РЎР‚Р В¶Р С‘РЎвЂ РЎРЉР С”Р Вµ
T,en,Onishki,ru,Р С›Р Р…Р С‘РЎв‚¬Р С”Р С‘,ua,Р С›Р Р…Р С‘РЎв‚¬Р С”Р С‘
T,en,Orzhitsja,ru,Р С›РЎР‚Р В¶Р С‘РЎвЂ РЎРЏ,ua,Р С›РЎР‚Р В¶Р С‘РЎвЂ РЎРЏ
T,en,Plehiv,ru,Р СџР В»Р ВµРЎвЂ¦iР Р†,ua,Р СџР В»Р ВµРЎвЂ¦iР Р†
T,en,Rajozero,ru,Р В Р В°Р в„–Р С•Р В·Р ВµРЎР‚Р С•,ua,Р В Р В°Р в„–Р С•Р В·Р ВµРЎР‚Р С•
T,en,Sazonivka,ru,Р РЋР В°Р В·Р С•Р Р…iР Р†Р С”Р В°,ua,Р РЋР В°Р В·Р С•Р Р…iР Р†Р С”Р В°
T,en,Starij irzhavets',ru,Р РЋРЎвЂљР В°РЎР‚Р С‘Р в„– IРЎР‚Р В¶Р В°Р Р†Р ВµРЎвЂ РЎРЉ,ua,Р РЋРЎвЂљР В°РЎР‚Р С‘Р в„– IРЎР‚Р В¶Р В°Р Р†Р ВµРЎвЂ РЎРЉ
T,en,Tarasenkove,ru,Р СћР В°РЎР‚Р В°РЎРѓР ВµР Р…Р С”Р С•Р Р†Р Вµ,ua,Р СћР В°РЎР‚Р В°РЎРѓР ВµР Р…Р С”Р С•Р Р†Р Вµ
T,en,CHajkivschina,ru,Р В§Р В°Р в„–Р С”iР Р†РЎвЂ°Р С‘Р Р…Р В°,ua,Р В§Р В°Р в„–Р С”iР Р†РЎвЂ°Р С‘Р Р…Р В°
T,en,CHevel'cha,ru,Р В§Р ВµР Р†Р ВµР В»РЎРЉРЎвЂЎР В°,ua,Р В§Р ВµР Р†Р ВµР В»РЎРЉРЎвЂЎР В°
T,en,CHutivka,ru,Р В§РЎС“РЎвЂљiР Р†Р С”Р В°,ua,Р В§РЎС“РЎвЂљiР Р†Р С”Р В°
T,en,JAbluneve,ru,Р Р‡Р В±Р В»РЎС“Р Р…Р ВµР Р†Р Вµ,ua,Р Р‡Р В±Р В»РЎС“Р Р…Р ВµР Р†Р Вµ
T,en,Berezova rudka,ru,Р вЂ?Р ВµРЎР‚Р ВµР В·Р С•Р Р†Р В° Р В РЎС“Р Т‘Р С”Р В°,ua,Р вЂ?Р ВµРЎР‚Р ВµР В·Р С•Р Р†Р В° Р В РЎС“Р Т‘Р С”Р В°
T,en,Bilotserkivtsi,ru,Р вЂ?iР В»Р С•РЎвЂ Р ВµРЎР‚Р С”iР Р†РЎвЂ i,ua,Р вЂ?iР В»Р С•РЎвЂ Р ВµРЎР‚Р С”iР Р†РЎвЂ i
T,en,Velika krucha,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р С™РЎР‚РЎС“РЎвЂЎР В°,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р С™РЎР‚РЎС“РЎвЂЎР В°
T,en,Vishneve,ru,Р вЂ™Р С‘РЎв‚¬Р Р…Р ВµР Р†Р Вµ,ua,Р вЂ™Р С‘РЎв‚¬Р Р…Р ВµР Р†Р Вµ
T,en,Viktorija,ru,Р вЂ™iР С”РЎвЂљР С•РЎР‚iРЎРЏ,ua,Р вЂ™iР С”РЎвЂљР С•РЎР‚iРЎРЏ
T,en,Grabarivka,ru,Р вЂњРЎР‚Р В°Р В±Р В°РЎР‚iР Р†Р С”Р В°,ua,Р вЂњРЎР‚Р В°Р В±Р В°РЎР‚iР Р†Р С”Р В°
T,en,Gurbintsi,ru,Р вЂњРЎС“РЎР‚Р В±Р С‘Р Р…РЎвЂ i,ua,Р вЂњРЎС“РЎР‚Р В±Р С‘Р Р…РЎвЂ i
T,en,Davidivka,ru,Р вЂќР В°Р Р†Р С‘Р Т‘iР Р†Р С”Р В°,ua,Р вЂќР В°Р Р†Р С‘Р Т‘iР Р†Р С”Р В°
T,en,Dejmanivka,ru,Р вЂќР ВµР в„–Р С?Р В°Р Р…iР Р†Р С”Р В°,ua,Р вЂќР ВµР в„–Р С?Р В°Р Р…iР Р†Р С”Р В°
T,en,Kaplintsi,ru,Р С™Р В°Р С—Р В»Р С‘Р Р…РЎвЂ i,ua,Р С™Р В°Р С—Р В»Р С‘Р Р…РЎвЂ i
T,en,Kejbalivka,ru,Р С™Р ВµР в„–Р В±Р В°Р В»iР Р†Р С”Р В°,ua,Р С™Р ВµР в„–Р В±Р В°Р В»iР Р†Р С”Р В°
T,en,Krjachkivka,ru,Р С™РЎР‚РЎРЏРЎвЂЎР С”iР Р†Р С”Р В°,ua,Р С™РЎР‚РЎРЏРЎвЂЎР С”iР Р†Р С”Р В°
T,en,Maljutintsi,ru,Р СљР В°Р В»РЎР‹РЎвЂљР С‘Р Р…РЎвЂ i,ua,Р СљР В°Р В»РЎР‹РЎвЂљР С‘Р Р…РЎвЂ i
T,en,Novi martinovichi,ru,Р СњР С•Р Р†i Р СљР В°РЎР‚РЎвЂљР С‘Р Р…Р С•Р Р†Р С‘РЎвЂЎi,ua,Р СњР С•Р Р†i Р СљР В°РЎР‚РЎвЂљР С‘Р Р…Р С•Р Р†Р С‘РЎвЂЎi
T,en,Pirjatin,ru,Р СџР С‘РЎР‚РЎРЏРЎвЂљР С‘Р Р…,ua,Р СџР С‘РЎР‚РЎРЏРЎвЂљР С‘Р Р…
T,en,Povstin,ru,Р СџР С•Р Р†РЎРѓРЎвЂљР С‘Р Р…,ua,Р СџР С•Р Р†РЎРѓРЎвЂљР С‘Р Р…
T,en,Prihid'ki,ru,Р СџРЎР‚Р С‘РЎвЂ¦iР Т‘РЎРЉР С”Р С‘,ua,Р СџРЎР‚Р С‘РЎвЂ¦iР Т‘РЎРЉР С”Р С‘
T,en,Sasinivka,ru,Р РЋР В°РЎРѓР С‘Р Р…iР Р†Р С”Р В°,ua,Р РЋР В°РЎРѓР С‘Р Р…iР Р†Р С”Р В°
T,en,Smotriki,ru,Р РЋР С?Р С•РЎвЂљРЎР‚Р С‘Р С”Р С‘,ua,Р РЋР С?Р С•РЎвЂљРЎР‚Р С‘Р С”Р С‘
T,en,Teplivka,ru,Р СћР ВµР С—Р В»iР Р†Р С”Р В°,ua,Р СћР ВµР С—Р В»iР Р†Р С”Р В°
T,en,Usivka,ru,Р Р€РЎРѓiР Р†Р С”Р В°,ua,Р Р€РЎРѓiР Р†Р С”Р В°
T,en,JAtsini,ru,Р Р‡РЎвЂ Р С‘Р Р…Р С‘,ua,Р Р‡РЎвЂ Р С‘Р Р…Р С‘
T,en,Poltava,ru,Р СџР С•Р В»РЎвЂљР В°Р Р†Р В°,ua,Р СџР С•Р В»РЎвЂљР В°Р Р†Р В°
T,en,Abazivka,ru,Р С’Р В±Р В°Р В·iР Р†Р С”Р В°,ua,Р С’Р В±Р В°Р В·iР Р†Р С”Р В°
T,en,Biologichne,ru,Р вЂ?iР С•Р В»Р С•Р С–iРЎвЂЎР Р…Р Вµ,ua,Р вЂ?iР С•Р В»Р С•Р С–iРЎвЂЎР Р…Р Вµ
T,en,Bozhkove,ru,Р вЂ?Р С•Р В¶Р С”Р С•Р Р†Р Вµ,ua,Р вЂ?Р С•Р В¶Р С”Р С•Р Р†Р Вµ
T,en,Brichkivka,ru,Р вЂ?РЎР‚Р С‘РЎвЂЎР С”iР Р†Р С”Р В°,ua,Р вЂ?РЎР‚Р С‘РЎвЂЎР С”iР Р†Р С”Р В°
T,en,Bulanove,ru,Р вЂ?РЎС“Р В»Р В°Р Р…Р С•Р Р†Р Вµ,ua,Р вЂ?РЎС“Р В»Р В°Р Р…Р С•Р Р†Р Вµ
T,en,Valok,ru,Р вЂ™Р В°Р В»Р С•Р С”,ua,Р вЂ™Р В°Р В»Р С•Р С”
T,en,Vatsi,ru,Р вЂ™Р В°РЎвЂ i,ua,Р вЂ™Р В°РЎвЂ i
T,en,Velikij trostjanets',ru,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р СћРЎР‚Р С•РЎРѓРЎвЂљРЎРЏР Р…Р ВµРЎвЂ РЎРЉ,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р СћРЎР‚Р С•РЎРѓРЎвЂљРЎРЏР Р…Р ВµРЎвЂ РЎРЉ
T,en,Gozhuli,ru,Р вЂњР С•Р В¶РЎС“Р В»Р С‘,ua,Р вЂњР С•Р В¶РЎС“Р В»Р С‘
T,en,Golovach,ru,Р вЂњР С•Р В»Р С•Р Р†Р В°РЎвЂЎ,ua,Р вЂњР С•Р В»Р С•Р Р†Р В°РЎвЂЎ
